,base_market,quote_market,hedge_ratio,half_life
0,CELO-USD,LINK-USD,0.0681253063755849,23.0
1,DOGE-USD,ADA-USD,0.24816756835096138,7.0
2,DOGE-USD,SNX-USD,0.028910425975211484,14.0
3,1INCH-USD,ALGO-USD,2.597512148027751,8.0
4,XMR-USD,BTC-USD,0.005488691757024084,8.0
5,FIL-USD,ETC-USD,0.21138711737805752,22.0
6,COMP-USD,SUSHI-USD,64.59127350542617,18.0
7,ALGO-USD,CRV-USD,0.21857823573656363,14.0
8,DOT-USD,SNX-USD,1.9165216252881776,9.0
9,SNX-USD,NEAR-USD,1.91580820698491,19.0
10,BCH-USD,TRX-USD,2497.639740476245,20.0
11,TRX-USD,BTC-USD,3.103196489149054e-06,23.0
12,UMA-USD,CRV-USD,3.184622771730824,24.0
